episode,reward,success,length
928,-0.1,0,1
929,-0.1,0,1
930,-0.1,0,1
931,-0.1,0,1
932,-0.1,0,1
933,0.27449533,1,1
934,0.19295736,1,1
935,0.18429786,1,1
936,-0.34972444,0,3
937,0.22086895,1,1
938,-0.1,0,1
939,-0.1,0,1
940,-0.1,0,1
941,-0.1,0,1
942,0.11700977,1,1
943,-0.1,0,1
944,-0.1,0,1
945,-0.1,0,1
946,-0.1,0,1
947,-0.1,0,1
948,-0.1,0,1
949,-0.1,0,1
950,0.27616018,1,1
951,-0.1,0,1
952,-0.1,0,1
953,0.23403856,1,1
954,0.31952986,1,1
955,-0.1,0,1
956,-0.1,0,1
957,-0.1,0,1
958,0.20856714,1,1
959,-0.06800372,1,4
960,0.08943538,1,1
961,-0.1,0,1
962,0.2914896,1,1
963,-0.1,0,1
964,-0.1,0,1
965,-0.1,0,1
966,-0.1,0,1
967,-0.1,0,1
968,-0.15017405,0,2
969,-0.1,0,1
970,-0.1,0,1
971,-0.1,0,1
972,0.2539642,1,1
973,-0.1,0,1
974,0.24943931,1,1
975,0.21256217,1,1
976,0.20333284,1,1
977,-0.1,0,1
978,-0.1,0,1
979,-0.1,0,1
980,-0.1,0,1
981,0.18530412,1,1
982,-0.1,0,1
983,-0.1,0,1
984,-0.1,0,1
985,-0.1,0,1
986,-0.13559955,0,2
987,-0.1,0,1
988,-0.1,0,1
989,0.20657124,1,1
990,-0.1,0,1
991,0.1666114,1,1
992,0.23722948,1,1
993,0.22180809,1,1
994,0.15258212,1,1
995,-0.1,0,1
996,-0.1,0,1
997,0.11097787,1,1
998,-0.1,0,1
999,-0.1,0,1
1000,-0.1,0,1
1001,-0.1,0,1
1002,-0.1,0,1
1003,-0.1,0,1
1004,-0.1,0,1
1005,-0.1,0,1
1006,-0.1,0,1
1007,-0.1,0,1
1008,0.28168938,1,1
1009,-0.1,0,1
1010,-0.1,0,1
1011,0.18867892,1,1
1012,0.15969408,1,1
1013,0.25332204,1,1
1014,0.1963458,1,1
1015,-0.1,0,1
1016,-0.1,0,1
1017,-0.1,0,1
1018,0.16677764,1,1
1019,-0.046973996,1,2
1020,-0.1,0,1
1021,0.18855438,1,1
1022,-0.1,0,1
1023,0.21138337,1,1
1024,-0.1,0,1
1025,-0.1,0,1
1026,-0.1,0,1
1027,0.22059554,1,1
1028,-0.1,0,1
1029,0.18015073,1,1
1030,-0.1,0,1
1031,-0.11719328,0,2
1032,-0.1,0,1
1033,-0.1,0,1
1034,-0.1,0,1
1035,0.084574245,1,1
1036,0.19841272,1,1
1037,-0.1,0,1
1038,-0.1,0,1
1039,-0.1,0,1
1040,-0.1,0,1
1041,0.30516493,1,1
1042,-0.22539747,0,5
1043,0.26352888,1,1
1044,0.28256708,1,1
1045,-0.1,0,1
1046,-0.1,0,1
1047,-0.1,0,1
1048,0.2090495,1,1
1049,-0.1,0,1
1050,-0.1,0,1
1051,-0.1,0,1
1052,-0.1,0,1
1053,-0.1,0,1
1054,-0.1,0,1
1055,-0.1,0,1
1056,0.21995072,1,1
1057,0.26620165,1,1
1058,-0.1,0,1
1059,-0.1,0,1
1060,0.2373616,1,1
1061,-0.17041558,0,2
1062,-0.1,0,1
1063,-0.1,0,1
1064,-0.1,0,1
1065,0.16230989,1,1
1066,-0.11225767,0,2
1067,-0.1,0,1
1068,0.23370844,1,1
1069,-0.1,0,1
1070,-0.1,0,1
1071,-0.1,0,1
1072,-0.1,0,1
1073,-0.1968016,1,3
1074,-0.0961194,1,2
1075,-0.1,0,1
1076,-0.1,0,1
1077,0.22119941,1,1
1078,0.27170888,1,1
1079,-0.1,0,1
1080,0.28034306,1,1
1081,-0.1,0,1
1082,-0.1,0,1
1083,-0.1,0,1
1084,0.26052213,1,1
1085,-0.1,0,1
1086,0.16192873,1,1
1087,0.21390018,1,1
1088,0.3289858,1,1
1089,-0.1,0,1
1090,0.3124532,1,1
1091,0.2554671,1,1
1092,-0.1,0,1
1093,-0.1,0,1
1094,-0.1,0,1
1095,0.27982154,1,1
1096,-0.1,0,1
1097,-0.1,0,1
1098,-0.1,0,1
1099,-0.1,0,1
1100,-0.1,0,1
1101,-0.1,0,1
1102,-0.1,0,1
1103,-0.1,0,1
1104,-0.1,0,1
1105,-0.1,0,1
1106,-0.1,0,1
1107,-0.1,0,1
1108,-0.1,0,1
1109,-0.1,0,1
1110,0.20282528,1,1
1111,0.17928368,1,1
1112,-0.1,0,1
1113,-0.1,0,1
1114,-0.1,0,1
1115,-0.1,0,1
1116,0.28244373,1,1
1117,-0.1,0,1
1118,-0.1,0,1
1119,-0.1,0,1
1120,-0.1,0,1
1121,-0.1,0,1
1122,-0.1,0,1
1123,-0.1,0,1
1124,0.23980305,1,1
1125,-0.1,0,1
1126,-0.1,0,1
1127,0.28888628,1,1
1128,-0.17307067,0,2
1129,-0.1,0,1
1130,0.21969587,1,1
1131,-0.1,0,1
1132,0.21312597,1,1
1133,-0.1,0,1
1134,-0.1,0,1
1135,-0.1,0,1
1136,0.27056304,1,1
1137,0.25503078,1,1
1138,-0.1,0,1
1139,-0.15966246,0,2
1140,-0.1,0,1
1141,-0.1,0,1
1142,-0.1,0,1
1143,-0.1,0,1
1144,-0.1,0,1
1145,-0.1,0,1
1146,-0.1,0,1
1147,-0.1,0,1
1148,-0.1,0,1
1149,0.2167806,1,1
1150,-0.28521708,0,3
1151,0.21623966,1,1
1152,-0.15476084,0,2
1153,0.14004706,1,1
1154,-0.1,0,1
1155,-0.1,0,1
1156,-0.1,0,1
1157,0.24646175,1,1
1158,-0.1,0,1
1159,-0.1,0,1
1160,0.13109355,1,1
1161,-0.1,0,1
1162,-0.18308079,0,3
1163,-0.1,0,1
1164,-0.24452773,0,4
1165,-0.1,0,1
1166,-0.1,0,1
1167,0.28337932,1,1
1168,-0.1,0,1
1169,0.19212684,1,1
1170,-0.1,0,1
1171,-0.1,0,1
1172,-0.1,0,1
1173,-0.1,0,1
1174,-0.1,0,1
1175,0.23037346,1,1
1176,-0.1,0,1
1177,-0.1,0,1
1178,0.29249427,1,1
1179,-0.1,0,1
1180,-0.1,0,1
1181,-0.1,0,1
1182,-0.1,0,1
1183,-0.04140694,1,2
1184,-0.1,0,1
1185,-0.1,0,1
1186,-0.1,0,1
1187,0.15283644,1,1
1188,-0.1,0,1
1189,0.24604768,1,1
1190,-0.1,0,1
1191,-0.1,0,1
1192,-0.1,0,1
1193,-0.1,0,1
1194,-0.1,0,1
1195,-0.1,0,1
1196,-0.1,0,1
1197,0.15979429,1,1
1198,0.18785562,1,1
1199,0.3214269,1,1
1200,-0.1,0,1
1201,0.30398753,1,1
1202,-0.1,0,1
1203,-0.1,0,1
1204,-0.1,0,1
1205,0.26851934,1,1
